511 511 0 0
511 512 0 0
511 513 0 0
512 512 0 0
511 514 0 0
514 513 0 0
500 500 0 -1
501 501 0 -1
0 0 2 1
1 1 2 1
-1 -1 2 1
-1 1 2 1
1 -1 2 1
2 -2 2 1
-2 2 2 1
-2 -2 2 1
2 2 2 1
100 100 2 2
101 101 2 2
101 100 2 2
101 100 2 2
102 101 2 2
101 102 2 2
102 102 2 2
-50 -59 2 -1
500 500 2 -1
501 501 2 -1
502 502 2 -1
140565,495947663
167447,616073432 -302399,672326888
-30898,8966267597 -448848,08864627
-202925,18411668 -291493,339540458
12161,6310001969 -281144,456093787
219853,924840155 -467779,329102325
77152,1852123063 -802849,064590678
-264260,731095896 -306746,569964987
24470,7935326224 -143398,686626745
-61879,1661518892 -893566,817305231
-82043,6102049088 -269382,321367856
-194508,130883795 -581703,163248542
539115,953985475 -781544,394444313
-138397,012684344 -160557,914119204
87508,1678905395 -195420,156635182
-296188,066798054 -839160,24775132
-89507,6516480342 -72496,1643602933
262214,578228328 -602010,833507878
-168939,675647073 -236594,827188278
-176475,924172395 -317188,256702054
-64824,8077122983 -127951,869519127
-159535,662361676 -314131,292299003
-152071,949545278 -260536,75837692
-331346,567034254 -287596,591715714
12826,6053983665 -402621,638503268
67045,5187076654 -198436,073933425
3726,37498796516 -163040,078965321
192124,823529703 -263561,400895678
15264,8925995579 -114702,297815125
35516,6322682107 396695,957071488
27707,05941199 301151,69417728
498412,672050251 532918,448389906
58492,3499478224 97454,0107926438
-45783,5532487275 780535,294404139
6817,91609051727 351039,096209342
-82637,5615028225 516503,821539227
-19960,595810246 185070,403068442
17570,4343386686 394299,474872825
36815,7299501825 74599,4271898099
6451,72318466088 721120,862926161
233738,127200549 269219,526662454
104564,835740144 245328,445014039
189887,262986492 388635,013605864
204349,203808089 514734,208978633
32620,0730533554 22970,599123644
77058,0033309879 157494,951799975
268085,218077291 494837,456870473
-162420,639906477 776453,482664765
-849,499569528969 131141,904632027
472837,321860491 919262,947773112
39757,6487897568 898872,968490936
355980,55523452 369320,614970521
-93355,2755333834 90369,739729111
-662462,106551921 34844,9636753239
-231575,726688446 176922,874798221
-88802,8307871348 294877,175296444
-76413,8521788744 206192,381957548
-60884,5516946561 36775,6081693762
-562603,957873544 -338327,577025913
-119517,020717518 145856,251918707
-171422,63197144 173949,851771109
-577470,214883948 148455,57992374
-195778,340211431 380542,213293295
-50428,5091062638 155842,39125858
-373360,431491754 88831,2373176875
-884895,552987119 84889,8357809595
-119383,736643039 135564,536121084
-529297,019162028 -258866,9023548
-840840,174592952 -87894,5129284889
-194481,714167178 124125,292781396
-347349,453000868 148882,676724304
-193002,974453842 153600,875812765
-414491,626000104 131608,710154915
-388950,262009527 85466,2716261737
-143653,312578599 124780,976239502
-51841,8354015145 122397,529237699
-258255,753655476 258146,180703552
-384866,5251672 559184,564656805
-630857,926593524 -29106,4323839994
-302649,43504069 482156,248764327
-246738,692671434 -65532,5822835213
-406041,597076338 194610,5966518
-338724,639326213 5818,64730880905
-190648,64294181 49301,5021185826
-702605,918563781 496743,33290625
-588389,71837373 6988,83681994297
432592,218741901 42680,140605725
124431,936960891 6847,69591350932
241431,715556499 23290,9903249894
151415,786235486 -1305,62269928754
369196,613159676 18652,5107350072
56322,8417555698 21350,2621519613
694565,933782755 17189,8629677509
50569,0249901344 30311,4517943149
702545,43410094 -34814,9085732246
230895,909046862 73270,6238046236
409571,02672013 51562,0056722835
609839,451477997 -57078,23981909
206256,301287733 84881,40736098
310702,237461082 84657,7400778414
579805,04993676 -7857,73061680036
231890,932757826 19580,0787502695
117212,997680802 12561,42778795
755353,393829392 -60988,1584450752
360143,357281653 100082,929294778
395695,955011124 -19919,0039811083
505171,297349673 6493,69686667141
142324,008542137 48783,1115066694
406419,638098663 -37357,6516563742
408362,296243088 -170298,319139145
475803,958020143 -166508,510486029
493885,788768432 -94562,0352109182
255799,357747488 242152,027210556
252,049381343
1732,40703748186 -464236,723102502
108566,503967106 -14388,1801378379
295164,685088377 -161111,886339106
809705,098194402 -237460,377692062
5018,33256332033 -52489,1950025601
8147,25067591912 -418490,678262203
11584,8387777157 -360135,293613868
702182,947678917 2730,44550980741
320288,127610581 -173585,666239246
307714,189071348 -144271,02721753
470080,318299469 -201072,252718649
286340,301005587 10169,8007937473
427737,061725719 -104115,219983028
810263,485577953 -52401,1225786578
16747,60095445 -447925,926404047
677014,219223099 -422850,735665997
96987,0723363948 -195909,594349487
-7049,00909349742 -470938,609137588
27044,9915035372 -109482,550542427
-8367,13246302313 -13438,4164930174
53570,0554598896 4215,82416596442
364169,558893467 -175957,592256524
114489,179267419 -202911,422611057
296095,305244907 -20097,0250276462
4107,84723777317 -35578,6869818278
331648,587202967 -483420,42746177
850664,262154082 -151287,537448181
127927,69210748 -220,555966003126
66733,9424162209 -39741,194312479
208800,116863549 200,797208981028
92885,3062980158 -298000,66502289
48368,2206352792 -4975,11283961083
284012,733232843 74180,0138886073
302243,920375892 -444949,299358885
151591,699981178 -7289,56307980491
38664,6875023733 -528012,967666024
701401,437754301 22134,467467278
179956,495642027 -316897,809150032
157324,272176124 -72777,1122493907
219072,787429376 12536,7487006387
67977,3425936375 -454126,91269013
53848,4299500847 -21264,4376486151
68298,8789089969 -547482,044399095
778777,03819369 33378,8495640843
39775,3935226092 -11968,8908192343
482588,28700209 -220000,252111681
306420,491526822 22816,7167526347
162664,694924337 -192954,198681312
24475,8850711286 -405944,23399028
689340,92205117 211910,425624636
703551,834683237 -172525,841552059
454194,9730105 77196,1067125015
531067,705500174 -199522,428692835
502180,361314455 -13584,9611311895
-10115,7083465092 -138084,499617714
50103,8920939429 -187162,548399972
90199,4404825482 -5476,55424376976
377,95280130345 -17805,5148945332
480052,130227689 -379636,560035211
94179,5639444308 -420874,844118004
413031,987042908 88001,0770729077
352370,88850264 -47742,8140205647
149897,610316085 -91001,2348549609
93825,4594604007 -477775,073372996
529089,491600298 -131448,255746797
11400,8349246629 -18775,9008163008
270740,12835624 83359,466067476
113176,765713873 -244746,707896724
389842,225553134 18658,3954023469
-31776,9823024035 499115,243753122
369488,403903984 137711,76936062
-9809,63047738915 380422,186571441
-37742,6922610624 201288,179634979
108500,492378755 197801,507118731
42751,1848174027 59807,5174947975
236120,950777538 243024,825835838
359833,313132942 626652,736486185
129785,073457224 106452,927986894
71245,7121180434 110459,574988626
70365,0684792018 374760,980211704
43368,5879985767 383105,25355104
136791,287432217 360764,453839849
209918,067279834 244072,209174936
115579,165947396 678251,905908833
906243,232851972 317797,777014779
29154,507916854 496270,119629925
31744,2434792087 436404,953325959
-200321,406076904 646738,313948363
175836,894640787 269756,323555838
-135572,693963105 483199,175966089
60974,0085990727 492919,239803266
250882,613387027 224655,791117739
125272,234172382 884099,16069902
-19173,8936204751 576765,030439302
70996,8977466267 365701,498034306
-20718,0135823544 81999,8586064078
36157,2479796099 804905,670192721
49477,7431859592 173617,227894862
-80060,2770733583 636977,312800225
-114421,907549231 268589,413205197
351278,898005528 207366,295246814
-185802,238722326 615123,021450536
55778,4934680473 174448,025496187
38343,122165497 43024,0984463431
163684,447923231 148123,386167443
177189,598398953 494890,719084865
142226,232599051 243786,134738804
713166,395022146 496878,209060039
172647,986317519 767921,904128141
