0 0 2 1
1 1 2 1
-1 -1 2 1
-1 1 2 1
1 -1 2 1
2 -2 2 1
-2 2 2 1
-2 -2 2 1
2 2 2 1
100 100 2 2
101 101 2 2
101 100 2 2
101 100 2 2
102 101 2 2
101 102 2 2
102 102 2 2
-50 -59 2 -1
-50 -60 2 -1
-60 -60 2 -1
-60 -50 2 -1
-55 -55 2 -1
-56 -56 2 -1
-56 -55 2 -1
511 511 0 0
511 512 0 0
511 513 0 0
512 512 0 0
511 514 0 0
514 513 0 0
500 500 0 -1
501 501 0 -1
502 502 0 -1
501 502 0 -1
502 501 0 -1
2 501 1 -1
 532918,448389906
-88802,8307871348 294877,175296444
151415,786235486 -1305,62269928754
-53930,772135002 -117920,760030671
369196,613159676 18652,5107350072
56322,8417555698 21350,2621519613
-76413,8521788744 206192,381957548
694565,933782755 17189,8629677509
50569,0249901344 30311,4517943149
-60884,5516946561 36775,6081693762
58492,3499478224 97454,0107926438
702545,43410094 -34814,9085732246
230895,909046862 73270,6238046236
66947,4647529421 -140565,495947663
-562603,957873544 -338327,577025913
-45783,5532487275 780535,294404139
409571,02672013 51562,0056722835
-119517,020717518 145856,251918707
167447,616073432 -302399,672326888
-30898,8966267597 -448848,08864627
609839,451477997 -57078,23981909
-171422,63197144 173949,851771109
6817,91609051727 351039,096209342
-82637,5615028225 516503,821539227
-577470,214883948 148455,57992374
-195778,340211431 380542,213293295
-202925,18411668 -291493,339540458
412424,072079435 -342776,451993075
724917,652558218 -705697,632471409
206256,301287733 84881,40736098
-19960,595810246 185070,403068442
-50428,5091062638 155842,39125858
-373360,431491754 88831,2373176875
12161,6310001969 -281144,456093787
599653,628613371 -278753,563907185
-884895,552987119 84889,8357809595
310702,237461082 84657,7400778414
17570,4343386686 394299,474872825
-119383,736643039 135564,536121084
219853,924840155 -467779,329102325
579805,04993676 -7857,73061680036
-529297,019162028 -258866,9023548
231890,932757826 19580,0787502695
-840840,174592952 -87894,5129284889
-194481,714167178 124125,292781396
117212,997680802 12561,42778795
755353,393829392 -60988,1584450752
-347349,453000868 148882,676724304
36815,7299501825 74599,4271898099
77152,1852123063 -802849,064590678
6451,72318466088 721120,862926161
-193002,974453842 153600,875812765
360143,357281653 100082,929294778
504542,450112002 -612802,903890862
-264260,731095896 -306746,569964987
-414491,626000104 131608,710154915
395695,955011124 -19919,0039811083
233738,127200549 269219,526662454
24470,7935326224 -143398,686626745
-388950,262009527 85466,2716261737
-143653,312578599 124780,976239502
505171,297349673 6493,69686667141
-51841,8354015145 122397,529237699
104564,835740144 245328,445014039
-61879,1661518892 -893566,817305231
-82043,6102049088 -269382,321367856
142324,008542137 48783,1115066694
121724,123775244 -86852,6002925339
406419,638098663 -37357,6516563742
-258255,753655476 258146,180703552
548091,586490021 -425415,199093579
-194508,130883795 -581703,163248542
408362,296243088 -170298,319139145
539115,953985475 -781544,394444313
671593,96535148 -675543,954425882
235953,901311826 -197725,690733642
475803,958020143 -166508,510486029
-138397,012684344 -160557,914119204
-384866,5251672 559184,564656805
493885,788768432 -94562,0352109182
-630857,926593524 -29106,4323839994
98153,3776616218 -68115,2346141652
260313,354891967 -177997,510426071
87508,1678905395 -195420,156635182
-302649,43504069 482156,248764327
-246738,692671434 -65532,5822835213
-406041,597076338 194610,5966518
255799,357747488 242152,027210556
197053,351548044 30686,2933052072
189887,262986492 388635,013605864
-296188,066798054 -839160,24775132
-338724,639326213 5818,64730880905
-89507,6516480342 -72496,1643602933
262214,578228328 -602010,833507878
-190648,64294181 49301,5021185826
-168939,675647073 -236594,827188278
204349,203808089 514734,208978633
32620,0730533554 22970,599123644
77058,0033309879 157494,951799975
-176475,924172395 -317188,256702054
-702605,918563781 496743,33290625
-588389,71837373 6988,83681994297
268085,218077291 494837,456870473
-192680,584756271 84063,002886069
-365146,398916845 -156130,128520429
-463387,159368184 -10710,657992896
-64824,8077122983 -127951,869519127
332142,170324797 -135389,00404544
476634,623877127 197918,520615934
-159535,662361676 -314131,292299003
-152071,949545278 -260536,75837692
-141540,157848036 67030,4528952997
74023,976470653 45007,4933817198
-331346,567034254 -287596,591715714
12826,6053983665 -402621,638503268
-540923,581007691 -272836,029218624
-162420,639906477 776453,482664765
169920,592638273 837,318556665126
-101583,00926885 353651,602698526
-313916,974987265 184038,465031435
67045,5187076654 -198436,073933425
467217,836836344 53902,579123813
-163462,097065 242725,900644495
-185975,76613005 245137,323544604
3726,37498796516 -163040,078965321
720307,626826192 -33279,0577861555
-447344,25193367 -275092,251141133
431316,075068652 -394702,743573451
-519626,912594253 -9029,48169532627
622546,301665434 1770,44426667758
-299929,701917925 27734,1695446662
192124,823529703 -263561,400895678
-849,499569528969 131141,904632027
-47447,6226274295 133389,562113414
472837,321860491 919262,947773112
-142601,329583536 -9125,13694180135
-642161,99630702 -98451,3239816047
212856,943792815 112766,475335216
15264,8925995579 -114702,297815125
-26160,5127525285 75298,8621444366
106404,155543146 -5598,65509533168
-839816,231037078 -67329,0168388416
-151770,553414059 -14120,3290779033
385435,826218868 -296536,649004596
-39129,493655158 -395038,136315555
28933,3254280674 -705285,521263355
804615,075891402 334328,765814581
311049,742687604 32358,6052463248
-387916,74800954 -187006,958478942
-169980,951204798 -33092,6365128032
-54797,6054258005 44044,901063933
39757,6487897568 898872,968490936
-110924,073042607 225469,220748709
650969,626125336 513249,786730027
281203,05868054 -48854,4513785692
-403285,466637189 -681629,820587951
179975,22596868 90570,9527398306
-358349,045157651 80885,1937562698
24593,2288772302 -32063,6911574563
-477306,19176701 -236086,710528272
738943,445007288 -168424,790138197
-72679,1561366865 210375,563539682
355980,55523452 369320,614970521
195759,246042316 517565,265452335
-139740,528891776 10309,6649752882
391828,461754289 398150,765980548
-953262,289918465 74533,0953505505
248179,375451071 77624,8889490943
116780,762139952 -282210,37646774
38942,0348650338 -97698,7043282849
158755,92687655 -424524,131115882
34459,143062187 -354320,85958748
-409447,413793101 86678,5392406651
108464,132179962 40569,129880223
-414263,288257346 -120781,088562839
40052,7851660572 48652,8289479547
121176,579860574 594969,28556052
-400261,558521056 -562638,545517287
-53983,826815471 -59395,2466272913
191657,010195156 -510909,674433821
88524,9726037937 14756,5705436732
-508376,655845521 -153061,583985686
